kod,komunikat,bon,płeć,wiek,tryb,rok,waznosc,Nastroj1,Nastroj2,indeks_przychylności,wynik_ogólny,nastroj_diff,Nastroj1_mapped,komunikat_mapped,Nastroj1_komunikat_congruence,Nastroj1_komunikat_congruence_abs,plec_komunikat_bon,komunikat_bon,Nastroj1_komunikat_congruence_komunikat
OER01,0,1,1,19,1,1,4,3,3,4.0,4.0,0,3,3,0,0,k_0_1,0_1,0_0
EMJ05,0,1,1,20,1,1,1,3,3,4.0,2.375,0,3,3,0,0,k_0_1,0_1,0_0
MAP06,0,1,1,19,1,1,1,3,2,3.5,4.0625,-1,3,3,0,0,k_0_1,0_1,0_0
AGK04,0,1,1,20,1,1,3,4,4,4.0,3.625,0,5,3,2,2,k_0_1,0_1,2_0
PJZ05,0,1,1,19,1,1,3,4,4,4.0,3.875,0,5,3,2,2,k_0_1,0_1,2_0
MIJ06,0,1,1,19,1,1,3,3,4,4.0,3.5,1,3,3,0,0,k_0_1,0_1,0_0
KDM-4,0,1,1,20,1,1,1,1,1,3.5,2.4375,0,1,3,-2,2,k_0_1,0_1,-2_0
ADA08,0,1,1,19,1,1,4,4,4,2.0,2.25,0,5,3,2,2,k_0_1,0_1,2_0
MMM11,0,1,1,20,1,1,5,3,3,3.0,2.5,0,3,3,0,0,k_0_1,0_1,0_0
XXX1,0,1,1,19,2,1,4,4,4,3.5,3.4375,0,5,3,2,2,k_0_1,0_1,2_0
XXX2,0,1,1,19,1,1,5,4,3,4.5,3.5625,-1,5,3,2,2,k_0_1,0_1,2_0
XXX3,0,1,1,19,1,1,4,3,4,1.5,3.1875,1,3,3,0,0,k_0_1,0_1,0_0
XXX4,0,1,1,19,1,1,4,3,3,2.5,2.6875,0,3,3,0,0,k_0_1,0_1,0_0
WEP03,0,1,1,20,2,1,4,4,4,4.0,3.875,0,5,3,2,2,k_0_1,0_1,2_0
XXX5,0,1,1,20,2,1,3,3,3,3.5,3.5625,0,3,3,0,0,k_0_1,0_1,0_0
XXX6,0,1,1,20,1,1,3,3,3,1.5,2.5625,0,3,3,0,0,k_0_1,0_1,0_0
XXX7,0,1,1,20,1,1,4,3,3,4.0,3.125,0,3,3,0,0,k_0_1,0_1,0_0
MKK01,0,1,1,26,2,1,4,1,2,5.0,4.875,1,1,3,-2,2,k_0_1,0_1,-2_0
XXX8,0,1,1,23,2,1,5,4,4,1.0,1.75,0,5,3,2,2,k_0_1,0_1,2_0
AHR09,0,1,1,45,2,1,5,4,4,4.0,3.0,0,5,3,2,2,k_0_1,0_1,2_0
MJS12,0,1,1,21,2,1,3,3,4,4.0,3.625,1,3,3,0,0,k_0_1,0_1,0_0
XXX9,0,1,1,22,1,1,2,3,3,2.5,2.3125,0,3,3,0,0,k_0_1,0_1,0_0
XX10,0,1,1,18,1,1,5,3,2,4.0,3.5,-1,3,3,0,0,k_0_1,0_1,0_0
XX11,0,1,1,27,2,1,4,3,3,4.0,3.25,0,3,3,0,0,k_0_1,0_1,0_0
XX12,0,1,1,21,2,1,3,1,1,4.0,2.875,0,1,3,-2,2,k_0_1,0_1,-2_0
DLV02,0,1,1,21,1,1,2,3,3,1.0,1.625,0,3,3,0,0,k_0_1,0_1,0_0
KDP08,0,1,1,21,1,1,1,2,2,2.0,2.75,0,1,3,-2,2,k_0_1,0_1,-2_0
AIA4,0,1,2,20,1,1,5,2,2,3.5,3.6875,0,1,3,-2,2,m_0_1,0_1,-2_0
AKT12,0,1,2,20,2,1,2,4,4,2.5,3.1875,0,5,3,2,2,m_0_1,0_1,2_0
XX14,0,1,2,20,1,1,3,4,3,3.5,3.3125,-1,5,3,2,2,m_0_1,0_1,2_0
XX15,0,1,2,19,1,1,3,3,3,3.0,2.5,0,3,3,0,0,m_0_1,0_1,0_0
MAG07,0,1,2,21,1,1,4,1,1,4.0,2.625,0,1,3,-2,2,m_0_1,0_1,-2_0
WMG09,2,1,2,19,2,1,3,2,2,4.0,3.875,0,1,1,0,0,m_2_1,2_1,0_2
BAP08,2,1,2,19,2,1,5,3,4,4.0,4.0,1,3,1,2,2,m_2_1,2_1,2_2
JBH07,2,1,1,19,2,1,5,4,4,5.0,4.5,0,5,1,4,4,k_2_1,2_1,4_2
GJA12,2,1,1,19,2,1,5,5,5,4.0,3.875,0,5,1,4,4,k_2_1,2_1,4_2
XX16,2,1,1,20,2,1,3,5,4,3.5,3.5625,-1,5,1,4,4,k_2_1,2_1,4_2
XX17,2,1,1,21,2,1,2,3,2,3.5,3.4375,-1,3,1,2,2,k_2_1,2_1,2_2
XX18,2,1,1,21,2,1,1,5,5,5.0,4.0,0,5,1,4,4,k_2_1,2_1,4_2
XX19,2,1,1,25,2,1,3,5,5,4.0,3.75,0,5,1,4,4,k_2_1,2_1,4_2
XX20,2,1,1,25,2,1,1,3,3,2.0,2.25,0,3,1,2,2,k_2_1,2_1,2_2
KAP03,2,1,1,32,2,1,2,5,5,2.0,2.75,0,5,1,4,4,k_2_1,2_1,4_2
KSZ11,2,1,1,37,2,1,3,1,1,3.0,4.375,0,1,1,0,0,k_2_1,2_1,0_2
AJA06,2,1,1,23,2,1,4,3,3,4.0,3.75,0,3,1,2,2,k_2_1,2_1,2_2
JIP07,2,1,1,18,1,1,3,2,3,5.0,4.375,1,1,1,0,0,k_2_1,2_1,0_2
XX21,2,1,1,19,1,1,4,3,4,4.5,4.0625,1,3,1,2,2,k_2_1,2_1,2_2
AJT07,2,1,1,19,1,1,2,3,3,4.0,3.25,0,3,1,2,2,k_2_1,2_1,2_2
PMP08,2,1,1,19,1,1,3,2,1,2.0,2.125,-1,1,1,0,0,k_2_1,2_1,0_2
EAM08,2,1,1,19,1,1,3,4,2,2.5,3.0625,-2,5,1,4,4,k_2_1,2_1,4_2
ZAM07,2,1,1,19,1,1,2,4,4,4.0,4.0,0,5,1,4,4,k_2_1,2_1,4_2
XX22,2,1,1,19,1,1,4,3,3,4.0,3.75,0,3,1,2,2,k_2_1,2_1,2_2
OIM04,2,1,1,20,1,1,4,4,3,4.0,3.5,-1,5,1,4,4,k_2_1,2_1,4_2
JAF05,2,1,1,20,1,1,2,4,4,4.0,3.75,0,5,1,4,4,k_2_1,2_1,4_2
XX23,2,1,1,20,1,1,2,4,4,2.0,2.0,0,5,1,4,4,k_2_1,2_1,4_2
XX24,2,1,1,20,1,1,1,4,2,1.0,1.375,-2,5,1,4,4,k_2_1,2_1,4_2
XX25,2,1,1,20,1,1,4,1,1,5.0,4.75,0,1,1,0,0,k_2_1,2_1,0_2
XX26,2,1,1,20,1,1,3,5,5,3.0,2.625,0,5,1,4,4,k_2_1,2_1,4_2
OII07,2,1,1,21,1,1,5,3,3,5.0,3.75,0,3,1,2,2,k_2_1,2_1,2_2
JAK05,2,1,1,22,1,1,5,3,3,4.0,4.125,0,3,1,2,2,k_2_1,2_1,2_2
OMD11,2,1,2,18,1,1,4,2,2,2.5,2.6875,0,1,1,0,0,m_2_1,2_1,0_2
XX27,2,1,2,18,1,1,4,3,3,4.0,3.625,0,3,1,2,2,m_2_1,2_1,2_2
XX28,2,1,2,19,1,1,4,3,3,4.0,3.0,0,3,1,2,2,m_2_1,2_1,2_2
XX29,2,1,2,21,1,1,3,4,4,3.0,3.125,0,5,1,4,4,m_2_1,2_1,4_2
XX30,2,1,3,20,1,1,4,4,4,5.0,4.375,0,5,1,4,4,inna_2_1,2_1,4_2
ZER10,2,1,3,20,1,1,2,4,4,4.5,4.0625,0,5,1,4,4,inna_2_1,2_1,4_2
IIP10,2,1,0,19,1,1,2,4,3,4.0,3.125,-1,5,1,4,4,inna_2_1,2_1,4_2
OMM08,1,1,1,19,2,1,3,2,2,2.5,2.8125,0,1,5,-4,4,k_1_1,1_1,-4_1
SAK05,1,1,1,20,2,1,2,4,4,2.0,3.0,0,5,5,0,0,k_1_1,1_1,0_1
MAK11,1,1,1,20,2,1,4,3,3,4.0,3.875,0,3,5,-2,2,k_1_1,1_1,-2_1
XX31,1,1,1,20,2,1,5,4,2,1.0,1.5,-2,5,5,0,0,k_1_1,1_1,0_1
XX32,1,1,1,21,2,1,1,3,3,5.0,4.125,0,3,5,-2,2,k_1_1,1_1,-2_1
WEI04,1,1,1,22,2,1,4,3,1,1.0,2.625,-2,3,5,-2,2,k_1_1,1_1,-2_1
XX33,1,1,1,23,2,1,3,5,5,5.0,4.25,0,5,5,0,0,k_1_1,1_1,0_1
SMW11,1,1,1,23,2,1,2,3,4,4.0,3.75,1,3,5,-2,2,k_1_1,1_1,-2_1
MLM11,1,1,1,26,2,1,3,3,3,5.0,3.75,0,3,5,-2,2,k_1_1,1_1,-2_1
MIL09,1,1,1,33,2,1,3,4,4,4.0,3.625,0,5,5,0,0,k_1_1,1_1,0_1
JJH09,1,1,1,34,2,1,5,5,5,5.0,5.0,0,5,5,0,0,k_1_1,1_1,0_1
XX34,1,1,2,21,2,1,3,4,4,3.0,3.75,0,5,5,0,0,m_1_1,1_1,0_1
ZMM07,1,1,3,21,2,1,3,3,3,3.5,4.0625,0,3,5,-2,2,inna_1_1,1_1,-2_1
DOJ06,1,1,1,19,1,1,5,3,2,4.0,3.875,-1,3,5,-2,2,k_1_1,1_1,-2_1
WMS09,1,1,1,19,1,1,4,4,4,2.0,2.25,0,5,5,0,0,k_1_1,1_1,0_1
KEK11,1,1,1,19,1,1,4,4,3,4.0,3.25,-1,5,5,0,0,k_1_1,1_1,0_1
RDT10,1,1,1,19,1,1,4,4,4,4.0,3.0,0,5,5,0,0,k_1_1,1_1,0_1
BEL07,1,1,1,19,1,1,3,4,4,4.0,3.5,0,5,5,0,0,k_1_1,1_1,0_1
XX35,1,1,1,19,1,1,2,3,2,3.0,3.0,-1,3,5,-2,2,k_1_1,1_1,-2_1
XX36,1,1,1,19,1,1,5,3,4,4.0,4.125,1,3,5,-2,2,k_1_1,1_1,-2_1
XX37,1,1,1,19,1,1,2,3,3,3.0,3.375,0,3,5,-2,2,k_1_1,1_1,-2_1
XX38,1,1,1,19,1,1,3,4,3,4.0,3.25,-1,5,5,0,0,k_1_1,1_1,0_1
AAJ01,1,1,1,20,1,1,3,2,2,3.0,3.0,0,1,5,-4,4,k_1_1,1_1,-4_1
WBP01,1,1,1,20,1,1,2,3,3,3.5,3.8125,0,3,5,-2,2,k_1_1,1_1,-2_1
MAA01,1,1,1,20,1,1,5,3,3,3.0,2.125,0,3,5,-2,2,k_1_1,1_1,-2_1
XX39,1,1,1,20,1,1,3,2,3,1.0,1.625,1,1,5,-4,4,k_1_1,1_1,-4_1
ANM03,1,1,2,19,1,1,2,5,5,4.0,2.125,0,5,5,0,0,m_1_1,1_1,0_1
KMP12,1,1,2,19,1,1,2,4,4,3.5,2.9375,0,5,5,0,0,m_1_1,1_1,0_1
XX40,1,1,2,19,1,1,3,4,4,5.0,4.0,0,5,5,0,0,m_1_1,1_1,0_1
SMR03,1,1,2,20,1,1,3,4,4,4.5,3.3125,0,5,5,0,0,m_1_1,1_1,0_1
XX41,1,1,2,22,1,1,4,3,3,4.0,4.5,0,3,5,-2,2,m_1_1,1_1,-2_1
XX42,1,1,2,22,1,1,2,4,5,3.5,3.9375,1,5,5,0,0,m_1_1,1_1,0_1
XX43,1,1,2,22,1,1,3,3,4,4.5,3.4375,1,3,5,-2,2,m_1_1,1_1,-2_1
JMS10,2,0,1,20,2,1,5,3,3,5.0,5.0,0,3,1,2,2,k_2_0,2_0,2_2
LMA05,2,0,1,20,2,1,2,2,2,4.0,3.375,0,1,1,0,0,k_2_0,2_0,0_2
MAT06,2,0,1,21,2,1,5,2,2,3.0,2.0,0,1,1,0,0,k_2_0,2_0,0_2
XX44,2,0,1,22,2,1,4,4,3,4.5,4.3125,-1,5,1,4,4,k_2_0,2_0,4_2
EKM10,2,0,2,18,2,1,4,3,2,2.5,2.5625,-1,3,1,2,2,m_2_0,2_0,2_2
OAS04,2,0,2,20,2,1,3,4,4,5.0,4.375,0,5,1,4,4,m_2_0,2_0,4_2
WKJ02,2,0,3,23,2,1,4,3,3,2.0,2.25,0,3,1,2,2,inna_2_0,2_0,2_2
XX45,2,0,1,19,1,1,3,4,4,4.0,3.5,0,5,1,4,4,k_2_0,2_0,4_2
XX46,2,0,1,20,1,1,4,4,4,5.0,4.25,0,5,1,4,4,k_2_0,2_0,4_2
XX47,2,0,1,20,1,1,2,4,2,2.0,2.125,-2,5,1,4,4,k_2_0,2_0,4_2
XX48,2,0,1,20,1,1,2,3,2,3.0,2.875,-1,3,1,2,2,k_2_0,2_0,2_2
OMA11,2,0,1,21,1,1,1,3,3,5.0,4.25,0,3,1,2,2,k_2_0,2_0,2_2
MAT03,2,0,1,21,1,1,5,2,2,3.0,3.875,0,1,1,0,0,k_2_0,2_0,0_2
MBZ04,2,0,1,21,1,1,2,2,2,3.0,2.0,0,1,1,0,0,k_2_0,2_0,0_2
XX49,2,0,2,20,1,1,4,3,3,4.0,3.375,0,3,1,2,2,m_2_0,2_0,2_2
PAP09,2,0,2,19,1,1,5,5,5,4.0,3.875,0,5,1,4,4,m_2_0,2_0,4_2
BMK06,2,0,2,19,1,1,3,4,2,4.0,2.375,-2,5,1,4,4,m_2_0,2_0,4_2
AAA1,1,0,1,21,2,1,1,5,5,5.0,4.625,0,5,5,0,0,k_1_0,1_0,0_1
MES09,1,0,1,20,2,1,4,4,4,4.0,4.0,0,5,5,0,0,k_1_0,1_0,0_1
WWIWPD11,1,0,1,20,2,1,1,3,3,1.0,2.375,0,3,5,-2,2,k_1_0,1_0,-2_1
ABR08,1,0,1,23,2,1,4,3,3,3.5,3.9375,0,3,5,-2,2,k_1_0,1_0,-2_1
MGR07,1,0,1,39,2,1,5,4,4,5.0,5.0,0,5,5,0,0,k_1_0,1_0,0_1
WKW02,1,0,2,21,2,1,1,1,3,1.0,1.625,2,1,5,-4,4,m_1_0,1_0,-4_1
XX50,1,0,1,18,1,1,3,3,3,3.5,3.3125,0,3,5,-2,2,k_1_0,1_0,-2_1
ZAM10,1,0,1,18,1,1,3,4,4,3.0,3.25,0,5,5,0,0,k_1_0,1_0,0_1
AMT12,1,0,1,18,1,1,3,4,4,4.0,3.125,0,5,5,0,0,k_1_0,1_0,0_1
JAW05,1,0,1,19,1,1,5,3,3,5.0,4.375,0,3,5,-2,2,k_1_0,1_0,-2_1
NJR07,1,0,1,19,1,1,5,3,3,2.5,2.9375,0,3,5,-2,2,k_1_0,1_0,-2_1
XX51,1,0,1,19,1,1,3,4,4,3.5,3.3125,0,5,5,0,0,k_1_0,1_0,0_1
XX52,1,0,1,19,1,1,1,3,4,4.5,3.9375,1,3,5,-2,2,k_1_0,1_0,-2_1
XX53,1,0,1,20,1,1,4,4,4,5.0,4.5,0,5,5,0,0,k_1_0,1_0,0_1
RAR11,1,0,1,20,1,1,1,4,4,4.0,2.0,0,5,5,0,0,k_1_0,1_0,0_1
VAR07,1,0,1,20,1,1,2,4,3,4.0,2.5,-1,5,5,0,0,k_1_0,1_0,0_1
AAA04,1,0,2,22,1,1,3,4,4,4.5,4.0625,0,5,5,0,0,m_1_0,1_0,0_1
XX54,1,0,2,19,1,1,3,4,4,3.0,3.875,0,5,5,0,0,m_1_0,1_0,0_1
XX55,1,0,2,20,1,1,4,4,4,3.0,3.125,0,5,5,0,0,m_1_0,1_0,0_1
XX56,1,0,2,20,1,1,2,4,4,5.0,4.125,0,5,5,0,0,m_1_0,1_0,0_1
NMS09,0,0,1,19,2,1,4,4,4,4.5,4.1875,0,5,3,2,2,k_0_0,0_0,2_0
RMG01,0,0,1,20,2,1,4,4,4,4.0,3.875,0,5,3,2,2,k_0_0,0_0,2_0
AEZ03,0,0,1,21,2,1,4,3,3,4.0,3.75,0,3,3,0,0,k_0_0,0_0,0_0
MIA02,0,0,1,22,2,1,5,5,4,3.0,3.5,-1,5,3,2,2,k_0_0,0_0,2_0
JMR03,0,0,1,35,2,1,4,5,5,3.0,2.5,0,5,3,2,2,k_0_0,0_0,2_0
JBS03,0,0,2,20,2,1,4,5,5,5.0,4.125,0,5,3,2,2,m_0_0,0_0,2_0
ZOR07,0,0,2,26,2,1,1,4,4,2.0,2.375,0,5,3,2,2,m_0_0,0_0,2_0
XX57,0,0,1,19,1,1,1,2,2,3.5,2.8125,0,1,3,-2,2,k_0_0,0_0,-2_0
XX58,0,0,1,19,1,1,4,2,2,4.0,3.25,0,1,3,-2,2,k_0_0,0_0,-2_0
XX59,0,0,1,20,1,1,3,3,3,3.5,3.4375,0,3,3,0,0,k_0_0,0_0,0_0
XX61,0,0,1,20,1,1,2,3,3,4.0,2.625,0,3,3,0,0,k_0_0,0_0,0_0
XX62,0,0,1,20,1,1,2,3,3,5.0,4.75,0,3,3,0,0,k_0_0,0_0,0_0
XX63,0,0,1,20,1,1,3,4,4,4.0,3.25,0,5,3,2,2,k_0_0,0_0,2_0
KAA03,0,0,1,20,1,1,5,4,4,4.5,3.8125,0,5,3,2,2,k_0_0,0_0,2_0
ZIJ05,0,0,1,20,1,1,3,2,3,3.5,3.3125,1,1,3,-2,2,k_0_0,0_0,-2_0
AEJ05,0,0,1,20,1,1,2,4,4,3.5,3.3125,0,5,3,2,2,k_0_0,0_0,2_0
ORJ05,0,0,1,20,1,1,2,3,3,4.0,3.375,0,3,3,0,0,k_0_0,0_0,0_0
JUA12,0,0,2,19,1,1,3,3,3,3.0,3.375,0,3,3,0,0,m_0_0,0_0,0_0
AJW07,0,0,2,19,2,1,4,4,4,4.0,3.875,0,5,3,2,2,m_0_0,0_0,2_0
ADBP,0,0,2,19,2,1,2,3,3,4.5,2.8125,0,3,3,0,0,m_0_0,0_0,0_0
XX64,0,0,1,20,2,1,2,2,2,2.0,3.5,0,1,3,-2,2,k_0_0,0_0,-2_0
XX65,0,0,1,22,2,1,2,3,3,2.0,3.5,0,3,3,0,0,k_0_0,0_0,0_0
MMS5,0,0,1,20,2,1,2,3,3,3.5,3.5625,0,3,3,0,0,k_0_0,0_0,0_0
XX66,0,0,1,20,2,1,2,3,3,2.0,4.125,0,3,3,0,0,k_0_0,0_0,0_0
XX67,0,0,1,20,2,1,2,3,3,3.0,2.625,0,3,3,0,0,k_0_0,0_0,0_0
XX68,0,0,1,19,2,1,3,2,2,2.5,3.8125,0,1,3,-2,2,k_0_0,0_0,-2_0
AEJ04,0,0,1,20,2,1,2,4,4,5.0,4.0,0,5,3,2,2,k_0_0,0_0,2_0
XX69,0,0,1,20,2,1,2,3,3,1.0,3.5,0,3,3,0,0,k_0_0,0_0,0_0
BTN10,0,0,1,20,2,1,3,3,3,2.5,2.6875,0,3,3,0,0,k_0_0,0_0,0_0
XX70,1,0,1,25,2,1,2,1,3,3.0,3.75,2,1,5,-4,4,k_1_0,1_0,-4_1
XX71,1,0,1,21,2,1,2,2,3,2.0,3.5,1,1,5,-4,4,k_1_0,1_0,-4_1
MMA03,1,0,1,20,2,1,2,3,3,4.0,3.25,0,3,5,-2,2,k_1_0,1_0,-2_1
XX73,1,0,1,19,2,1,1,2,3,1.0,2.75,1,1,5,-4,4,k_1_0,1_0,-4_1
ROK04,1,0,1,21,2,1,1,5,5,4.0,3.625,0,5,5,0,0,k_1_0,1_0,0_1
XX74,1,0,1,19,2,1,3,2,4,2.0,3.625,2,1,5,-4,4,k_1_0,1_0,-4_1
LAM2023,1,0,1,20,2,1,4,4,4,5.0,4.25,0,5,5,0,0,k_1_0,1_0,0_1
XX75,1,0,2,21,2,1,2,2,3,1.0,3.375,1,1,5,-4,4,m_1_0,1_0,-4_1
ZZZ01,1,0,2,26,2,1,3,2,3,3.0,3.625,1,1,5,-4,4,m_1_0,1_0,-4_1
XX76,2,0,2,23,2,1,3,3,2,1.0,1.625,-1,3,1,2,2,m_2_0,2_0,2_2
R03,2,0,2,20,2,1,3,3,1,1.0,1.5,-2,3,1,2,2,m_2_0,2_0,2_2
PMD11,2,0,2,20,2,1,4,3,3,2.5,2.9375,0,3,1,2,2,m_2_0,2_0,2_2
XX77,2,0,1,18,2,1,1,2,1,1.0,1.625,-1,1,1,0,0,k_2_0,2_0,0_2
JJS07,2,0,1,20,2,1,2,5,5,3.5,3.8125,0,5,1,4,4,k_2_0,2_0,4_2
MMS08,2,0,1,20,2,1,5,2,3,5.0,4.375,1,1,1,0,0,k_2_0,2_0,0_2
XX78,2,0,1,22,2,1,3,3,2,1.0,1.625,-1,3,1,2,2,k_2_0,2_0,2_2
XX79,2,0,1,25,2,1,2,2,1,1.0,1.25,-1,1,1,0,0,k_2_0,2_0,0_2
ZMW09,2,0,1,19,2,1,3,3,3,4.0,2.625,0,3,1,2,2,k_2_0,2_0,2_2
AIP08,2,0,1,20,2,1,4,2,2,1.5,2.9375,0,1,1,0,0,k_2_0,2_0,0_2
XX80,2,0,1,22,2,1,2,2,1,1.0,1.125,-1,1,1,0,0,k_2_0,2_0,0_2
DŻD01,2,0,1,23,2,1,4,3,3,5.0,4.625,0,3,1,2,2,k_2_0,2_0,2_2
ZMM12,2,0,1,21,2,1,5,4,4,5.0,4.625,0,5,1,4,4,k_2_0,2_0,4_2
XX81,2,1,2,21,2,1,4,4,4,5.0,4.125,0,5,1,4,4,m_2_1,2_1,4_2
XX82,2,1,1,19,2,1,3,4,4,5.0,4.5,0,5,1,4,4,k_2_1,2_1,4_2
XX83,2,1,1,19,2,1,4,4,3,4.0,3.25,-1,5,1,4,4,k_2_1,2_1,4_2
XX84,2,1,1,20,2,1,1,3,2,2.0,2.25,-1,3,1,2,2,k_2_1,2_1,2_2
XX85,1,1,2,19,2,1,4,4,3,3.5,3.0625,-1,5,5,0,0,m_1_1,1_1,0_1
XX86,1,1,2,24,2,1,5,4,4,5.0,4.375,0,5,5,0,0,m_1_1,1_1,0_1
XX87,1,1,2,25,2,1,4,4,4,4.0,4.125,0,5,5,0,0,m_1_1,1_1,0_1
XX88,1,1,1,20,2,1,4,4,4,4.5,4.3125,0,5,5,0,0,k_1_1,1_1,0_1
